,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,293436035,,,0
1,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9556001,,,0
2,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,36026802,,,0
3,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4893121,,,0
4,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,326890,,,0
5,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,453003749,,,0
6,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,77173624,,,0
7,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12854973,,,0
8,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,418889,,,0
9,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,121422840,,,0
10,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,92795884,,,0
11,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,8790024,,,0
12,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,652129,,,0
13,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2021,,,0
14,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,686132975,,,0
15,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,46635531,,,4
16,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3642996,,,0
17,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6204346,,,0
18,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,286419,,,0
19,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,25954919,,,0
20,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,7499593,,,0
21,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,343728,,,0
22,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,11563,,,0
23,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,74907,,,0
24,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,33911980,,,0
25,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,170333,,,0
26,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,502190,,,0
27,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1021078,,,0
28,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,156000071,,,0
29,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,23207503,,,0
