iso_code,Country_name,period,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,stringency_index
ABW,Aruba,2020,5489.0,51205.747,49.0,457.111,5489.0,51205.753,50.0,466.449,53.86010204081633
ABW,Aruba,2020Q1,55.0,513.084,0.0,0.0,55.0,513.084,0.0,0.0,39.17947368421053
ABW,Aruba,2020Q2,103.0,960.866,3.0,27.986,48.0,447.784,3.0,27.987000000000002,70.0765934065934
ABW,Aruba,2020Q3,3963.0,36970.008,27.0,251.877,3860.0,36009.147,24.0,223.89600000000002,55.6054347826087
ABW,Aruba,2020Q4,5489.0,51205.747,49.0,457.111,1526.0,14235.738,23.0,214.566,39.10641304347826
AFG,Afghanistan,2020,52330.0,1313.655,2189.0,54.951,52332.0,1313.711,2189.0,54.938,47.62644230769231
AFG,Afghanistan,2020Q1,166.0,4.167,4.0,0.1,168.0,4.218,4.0,0.1,35.56135135135135
AFG,Afghanistan,2020Q2,31445.0,789.373,739.0,18.551,31279.0,785.208,735.0,18.447,81.75538461538463
AFG,Afghanistan,2020Q3,39354.0,987.915,1462.0,36.701,7909.0,198.544,723.0,18.146,52.858369565217394
AFG,Afghanistan,2020Q4,52330.0,1313.655,2189.0,54.951,12976.0,325.741,727.0,18.245,13.488804347826088
AGO,Angola,2020,17553.0,517.275,405.0,11.935,17553.0,517.274,408.0,11.987,73.36564459930314
AGO,Angola,2020Q1,7.0,0.206,2.0,0.059,7.0,0.20400000000000001,2.0,0.059,49.844166666666666
AGO,Angola,2020Q2,284.0,8.369,13.0,0.383,277.0,8.156,11.0,0.32,80.78021978021978
AGO,Angola,2020Q3,4972.0,146.521,183.0,5.393,4688.0,138.156,170.0,4.992999999999999,77.54304347826087
AGO,Angola,2020Q4,17553.0,517.275,405.0,11.935,12581.0,370.758,225.0,6.614999999999999,64.92228260869565
AIA,Anguilla,2020,13.0,859.504,0.0,0.0,13.0,859.505,0.0,0.0,0.0
AIA,Anguilla,2020Q1,2.0,132.231,0.0,0.0,2.0,132.231,0.0,0.0,0.0
AIA,Anguilla,2020Q2,3.0,198.347,0.0,0.0,1.0,66.116,0.0,0.0,0.0
AIA,Anguilla,2020Q3,3.0,198.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Anguilla,2020Q4,13.0,859.504,0.0,0.0,10.0,661.158,0.0,0.0,0.0
ALB,Albania,2020,58316.0,20298.413,1181.0,411.078,58316.0,20298.412,1181.0,411.043,64.76083601286173
ALB,Albania,2020Q1,243.0,84.583,15.0,5.221,243.0,84.581,15.0,5.22,51.59305555555556
ALB,Albania,2020Q2,2535.0,882.373,62.0,21.581,2292.0,797.79,47.0,16.355999999999998,81.58241758241758
ALB,Albania,2020Q3,13649.0,4750.892,387.0,134.705,11114.0,3868.52,325.0,113.1,58.91684782608696
ALB,Albania,2020Q4,58316.0,20298.413,1181.0,411.078,44667.0,15547.521,794.0,276.367,59.11869565217391
ARE,United Arab Emirates,2020,207822.0,20800.748,669.0,66.96,207822.0,20800.752,669.0,66.923,54.535414201183436
ARE,United Arab Emirates,2020Q1,664.0,66.459,6.0,0.601,664.0,66.458,6.0,0.6000000000000001,23.34015873015873
ARE,United Arab Emirates,2020Q2,48667.0,4871.044,315.0,31.528,48003.0,4804.592,309.0,30.919,78.04120879120879
ARE,United Arab Emirates,2020Q3,94190.0,9427.406,419.0,41.937,45523.0,4556.362,104.0,10.4,56.35989130434782
ARE,United Arab Emirates,2020Q4,207822.0,20800.748,669.0,66.96,113632.0,11373.34,250.0,25.004,50.82260869565218
ARG,Argentina,2020,1625514.0,35642.685,43245.0,948.234,1625514.0,35642.693,43245.0,948.224,71.36551912568305
ARG,Argentina,2020Q1,1054.0,23.111,27.0,0.592,1054.0,23.114,27.0,0.594,22.252307692307692
ARG,Argentina,2020Q2,64530.0,1414.951,1307.0,28.659,63476.0,1391.841,1280.0,28.06,92.59285714285716
ARG,Argentina,2020Q3,751001.0,16467.217,16937.0,371.378,686471.0,15052.267,15630.0,342.717,89.37967391304348
ARG,Argentina,2020Q4,1625514.0,35642.685,43245.0,948.234,874513.0,19175.471,26308.0,576.853,80.93413043478262
ARM,Armenia,2020,159409.0,53706.916,2823.0,951.105,159409.0,53706.929,2823.0,951.111,0.0
ARM,Armenia,2020Q1,532.0,179.238,3.0,1.011,532.0,179.239,3.0,1.0110000000000001,0.0
ARM,Armenia,2020Q2,25542.0,8605.424,443.0,149.252,25010.0,8426.191,440.0,148.244,0.0
