,from,to,2019,2020
0,AF,W00,863.8,776.7
1,AF,XR43,841.1,758.0
2,AF,1C_092,772.8,699.0
3,AF,XS25,442.4,462.2
4,AF,IN,410.1,405.9
5,AF,XS5,370.8,276.1
6,AF,1C_440,363.1,269.2
7,AF,PK,298.0,211.5
8,AF,1C_080,68.3,58.9
9,AF,F97,65.0,57.6
10,AF,CN,31.0,55.3
11,AF,E1,27.7,19.7
12,AF,1C_903,27.7,19.7
13,AF,TR,25.1,16.3
14,AF,AE,23.5,25.7
15,AF,XR29,22.7,18.7
16,AF,B0,15.3,12.5
17,AF,U2,14.6,11.5
18,AF,IR,14.6,7.8
19,AF,IQ,14.5,14.0
20,AF,DE,11.7,5.5
21,AF,R14,9.8,9.7
22,AF,SA,9.4,6.8
23,AF,US,3.0,2.5
24,AF,KZ,2.9,1.6
25,AF,TJ,2.4,3.0
26,AF,RU,2.0,2.6
27,AF,GB,1.7,1.2
28,AF,JO,1.4,2.2
29,AF,CA,1.4,1.5
30,AF,UZ,1.3,2.1
31,AF,LB,1.1,0.3
32,AF,AU,1.1,1.5
33,AF,FI,0.9,0.0
34,AF,TM,0.9,0.1
35,AF,IT,0.5,2.6
36,AF,ES,0.4,1.6
37,AF,AT,0.4,0.3
38,AF,VN,0.4,0.2
39,AF,F1,0.3,0.1
40,AF,NL,0.3,0.9
41,AF,SE,0.3,0.4
42,AF,FR,0.3,0.4
43,AF,HK,0.3,0.1
44,AF,RO,0.3,0.3
45,AF,MM,0.3,0.3
46,AF,BD,0.3,0.0
47,AF,KW,0.3,0.2
48,AF,F6,0.2,0.0
49,AF,UA,0.1,0.1
50,AF,AZ,0.1,0.0
51,AF,BH,0.1,0.0
52,AF,BE,0.1,0.1
53,AF,KG,0.1,0.1
54,AF,ID,0.1,0.4
55,AF,SG,0.1,0.1
56,AF,PL,0.1,0.2
57,AF,MY,0.1,0.0
58,AF,DK,0.0,0.0
59,AF,NO,0.0,0.0
60,AF,PT,0.0,0.0
61,AF,BY,0.0,0.1
62,AF,QA,0.0,0.2
63,AF,LT,0.0,0.0
64,AF,GE,0.0,0.0
65,AF,MA,0.0,0.0
66,AF,EG,0.0,0.2
67,AF,CH,0.0,0.1
68,AF,TH,0.0,0.0
69,AF,SZ,0.0,0.0
70,AF,JP,0.0,0.0
71,AF,LV,0.0,0.0
72,AF,CZ,0.0,0.0
0,AL,W00,2985.0,2716.3
1,AL,B0,2279.8,2031.6
2,AL,XR29,2229.0,1975.9
3,AL,U2,2081.7,1834.1
4,AL,IT,1430.8,1235.1
5,AL,XR43,756.0,740.3
6,AL,1C_092,739.0,722.5
7,AL,E1,661.4,643.2
8,AL,1C_903,661.4,643.2
9,AL,XK,298.0,262.4
10,AL,ES,238.4,166.0
11,AL,DE,141.7,160.0
12,AL,GR,127.6,132.1
13,AL,MK,85.6,88.5
14,AL,XS25,69.8,65.0
15,AL,CN,62.1,49.9
