IndicatorCategory,IndicatorCode,Indicator,ReporterCode,ReporterISO3A,Reporter,PartnerCode,PartnerISO3A,Partner,ProductClassificationCode,ProductClassification,ProductCode,Product,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,Value
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,788,TUN,Tunisia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,2936
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,626,TLS,Timor-Leste,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,203
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,882,WSM,Samoa,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,126
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,780,TTO,Trinidad and Tobago,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,769
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,834,TZA,Tanzania,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,682
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,740,SUR,Suriname,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,192
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,736,SDN,Sudan,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,3831
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,659,KNA,Saint Kitts and Nevis,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,80
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,760,SYR,Syrian Arab Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,1832
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,862,VEN,"Venezuela, Bolivarian Republic of",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,1845
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,50,BGD,Bangladesh,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,E,Estimate,10419
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,233,EST,Estonia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,2335
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,208,DNK,Denmark,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,16845
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,344,HKG,"Hong Kong, China",0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,28063
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,242,FJI,Fiji,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,428
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,204,BEN,Benin,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1146
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,116,KHM,Cambodia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1814
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,214,DOM,Dominican Republic,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,3589
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,84,BLZ,Belize,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,217
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,268,GEO,Georgia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1289
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,270,GMB,The Gambia,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,167
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,356,IND,India,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,27931
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group - annual,196,CYP,Cyprus,0,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AG,Agricultural products,A,Annual,A,Annual,USM,Million US dollar,2019,,,1394
