,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,57477,,,0
1,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,4329554,,,4
2,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,80752700,,,0
3,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,386982809,,,0
4,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,56291790,,,0
5,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,645585,,,4
6,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,8780682,,,0
7,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,43337665,,,0
8,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,115057325,,,0
9,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,39466,,,4
10,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,70328,,,0
11,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,423825,,,0
12,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,317255,,,0
13,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,215701,,,0
14,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,215491,,,0
15,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,1842518,,,0
16,H4,2019,2019,2019,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0.0,,660496,,,0
