,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,47516641,,,0
1,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,537970,,,0
2,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1501458,,,0
3,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3331067,,,0
4,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,71246501,,,0
5,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,23837580,,,0
6,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,3059782,,,0
7,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,5072019,,,0
8,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,41063499,,,0
9,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3407735,,,0
10,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,345774,,,0
11,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,221745,,,0
12,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1822038,,,0
13,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,64376947,,,0
14,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1186150,,,0
15,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1668089,,,0
16,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,10388353,,,0
17,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,21055726,,,0
18,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,12351917,,,0
19,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,2317335,,,0
20,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,380667,,,0
21,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,120014,,,0
22,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,4566517,,,0
23,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,72361670,,,0
24,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,304738112,,,0
25,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,80466642,,,0
26,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,2445566,,,0
27,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,131178,,,0
28,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,3874656,,,0
29,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,10717759,,,0
30,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,8879988,,,0
31,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,3654905,,,0
32,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,244309,,,0
33,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,No Quantity,,,0,,0,,2889318,,,0
34,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,485905,,,0
35,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,170825,,,0
36,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,6205688,,,0
37,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,21796700,,,0
38,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,8161280,,,0
39,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,8766116,,,0
40,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,28113490,,,0
41,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,41,Raw hides and skins (other than furskins) and leather,1,No Quantity,,,0,,0,,13206618,,,0
42,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,43,Furskins and artificial fur; manufactures thereof,1,No Quantity,,,0,,0,,272387,,,0
43,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1,No Quantity,,,0,,0,,110917,,,0
44,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,55612037,,,0
45,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,2389809,,,0
46,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,1,No Quantity,,,0,,0,,1074958,,,0
47,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,665487,,,0
48,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,582621,,,0
49,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,50,Silk,1,No Quantity,,,0,,0,,6129,,,0
50,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1,No Quantity,,,0,,0,,195389,,,0
51,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,470039,,,0
52,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,55,Man-made staple fibres,1,No Quantity,,,0,,0,,573451,,,0
53,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,1201849,,,0
54,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,340247,,,0
55,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,1744535,,,0
56,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,234046018,,,0
57,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,292685168,,,0
58,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,23735432,,,0
59,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,511995505,,,0
60,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,60,Fabrics; knitted or crocheted,1,No Quantity,,,0,,0,,1063566,,,0
61,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,6385046,,,0
62,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,5783926,,,0
63,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,11167600,,,0
64,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,4231566,,,0
65,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,72,Iron and steel,1,No Quantity,,,0,,0,,231069033,,,0
66,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,36572553,,,0
67,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,59273973,,,0
68,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,57,Carpets and other textile floor coverings,1,No Quantity,,,0,,0,,548180,,,0
69,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,91302,,,0
70,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1,No Quantity,,,0,,0,,10168809,,,0
71,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,15921498,,,0
72,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1,No Quantity,,,0,,0,,59943,,,0
73,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1,No Quantity,,,0,,0,,476,,,0
74,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,78,Lead and articles thereof,1,No Quantity,,,0,,0,,5002128,,,0
75,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,1579072,,,0
76,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,83,Metal; miscellaneous products of base metal,1,No Quantity,,,0,,0,,42028999,,,0
77,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,54529174,,,0
78,H5,2019,2019,2019,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,109866974,,,0
