,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,145528,,,0
1,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,726,,,0
2,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,62750,,,0
3,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,178,Congo,COG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,44233,,,0
4,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,180,Dem. Rep. of the Congo,COD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,23976,,,0
5,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15,,,0
6,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,53,,,0
7,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,516,Namibia,NAM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10529,,,0
8,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,566,Nigeria,NGA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,50,,,0
9,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,620,Portugal,PRT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1101,,,0
10,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,61,,,0
11,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20,,,0
12,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,311,,,0
13,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,732,,,0
14,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,818,Egypt,EGY,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,53,,,0
15,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,516,,,0
16,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,894,Zambia,ZMB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,396,,,0
17,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,321974,,,0
18,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,178,Congo,COG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2769,,,0
19,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,180,Dem. Rep. of the Congo,COD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,228104,,,0
20,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,192,Cuba,CUB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5,,,0
21,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,196,Cyprus,CYP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,344,,,0
22,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,233,Estonia,EST,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,16517,,,0
23,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,516,Namibia,NAM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,14216,,,0
24,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,20,,,0
25,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,620,Portugal,PRT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1040,,,0
26,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,58441,,,0
27,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,804,Ukraine,UKR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,514,,,0
28,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,21017132,,,0
29,H5,2019,2019,2019,2,0,2,Export,24,Angola,AGO,152,Chile,CHL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,340000,,,0
