,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,01,Live animals; animal products,1,No Quantity,,,0,,0.0,,4682,,,4
1,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,52489,,,0
2,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,0,,0.0,,1255339,,,0
3,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,37847,,,0
4,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,240,,,0
5,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,0,,0.0,,26544,,,0
6,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,0,,0.0,,2271,,,0
7,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,,,0,,0.0,,49958,,,0
8,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,263,,,0
9,H3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,,,0,,0.0,,5237,,,0
