,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,386119,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,42574,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1492125,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,198247,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,616,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,4351,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,11554,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,147251,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,237,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,281444,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,5356,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2168,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,42,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,10196,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,368429,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,550781,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,62442,,,0
