,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,57902,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,405,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,3,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,144369,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,1083114,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,2793,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,13673,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,1982,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,11803,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,15308,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,270,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,1477,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,1358,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,446,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,76767,,,0
