,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,30883,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,159831,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,19910,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,6376,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,3662,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,34,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,8739,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,8,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,35229,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,13395,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,9033,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,28,Antigua and Barbuda,ATG,,,,,,,,93,Arms and ammunition; parts and accessories thereof,1,No Quantity,,,0,,0,,7828,,,0
