,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,4764,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,6222,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,102764,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,153,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,195293,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,72639,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,10,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,239028,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,3736720,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,549495,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,546843,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,42816,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,409556,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,1358059,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,13789634,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,24760,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,675009,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,170887,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,554810,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,10791,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,No Quantity,,,0,,0,,20456,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,1140,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,6875660,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,4493616,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,1630988,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,41,Raw hides and skins (other than furskins) and leather,1,No Quantity,,,0,,0,,57212,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,36097,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,4629738,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,4946376,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,114220,,,0
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,11550,,,0
