,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,28238428,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,13965,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,14,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,372164,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,10188,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,602949,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,323997,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,69384,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,10783375,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1125457,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,521625,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,72555,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,919742,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,58121194,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,5044525,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,44496,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,145,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,278568,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,3724892,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,1128026,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,52144987,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,171,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,2631251,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,2749744,,,4
