,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5413778,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,40696,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2912,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,30237,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1067062,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,1115,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,23670,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,87,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,804,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,784,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,11916,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,13408,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,344950,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,49006,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1997227,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,4467784,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,834,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,2695,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,53756,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,72796,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,45157,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,9569122,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,105,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,121223,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,1293479,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,39179,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,345,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,3343,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,963356,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,501777,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,87313,,,4
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,31206,,,4
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,43,Furskins and artificial fur; manufactures thereof,1,No Quantity,,,0,,0,,1552,,,4
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,323395,,,4
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,416086,,,4
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,74753,,,0
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,6185,,,0
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,4,,,4
38,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,55,Man-made staple fibres,1,No Quantity,,,0,,0,,3313,,,0
39,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,1690,,,0
40,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,57,Carpets and other textile floor coverings,1,No Quantity,,,0,,0,,16750,,,0
41,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,59,,,4
42,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,13202,,,4
43,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,229014,,,4
44,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,536946,,,4
45,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,6504,,,0
46,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,56442,,,4
47,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,7385,,,0
48,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,1233,,,0
