,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,25856,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,94860,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,111,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,6792,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,905,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,112981,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,27719,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,2280,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,534,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,2468,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,261,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,210,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,4,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,11200,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,72,Iron and steel,1,No Quantity,,,0,,0,,4642,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,753,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,1069,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,39634,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,60029,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1,No Quantity,,,0,,0,,5798,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,74445,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,93,Arms and ammunition; parts and accessories thereof,1,No Quantity,,,0,,0,,24055,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,52,Barbados,BRB,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",1,No Quantity,,,0,,0,,15948,,,4
