,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3184560,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,,,3036,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0.0,,117,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0.0,,204,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0.0,,2391,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0.0,,1555,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0.0,,35452,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0.0,,18047,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0.0,,9978,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0.0,,58,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0.0,,67,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0.0,,10,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0.0,,3465,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0.0,,142,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0.0,,2491,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0.0,,1063,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0.0,,479997,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0.0,,80915,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0.0,,52024,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,,,0,,0.0,,37998,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,84,Belize,BLZ,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",1,No Quantity,,,0,,0.0,,99577,,,0
