,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,64,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,76068,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,432,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,180,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,351,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,27438,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,14734,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,768,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,8733,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,11462,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,35833,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,5,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,9496923,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,759,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,426819,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,17,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,18288,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,2749,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,16,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,238786,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,246,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,18703,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,452,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,2,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,83,Metal; miscellaneous products of base metal,1,No Quantity,,,0,,0,,3,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,24995,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,29189,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1,No Quantity,,,0,,0,,10593,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,166486,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,93,Arms and ammunition; parts and accessories thereof,1,No Quantity,,,0,,0,,2261,,,0
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,,,0,,0,,75978,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,96,Miscellaneous manufactured articles,1,No Quantity,,,0,,0,,32880,,,0
