,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3072,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,43495,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,245533,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3702,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,20923,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,4,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,10030,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1368046,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1859294,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,220537,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,85811,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1513824,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,69934431,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,9867365,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,104,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,2238165,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,4697,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,2155082,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,23848796,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,84861728,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,42222,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,4361401,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,11169087,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,1292756,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,739948,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,5460216,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,33390653,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,2484474,,,4
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,41,Raw hides and skins (other than furskins) and leather,1,No Quantity,,,0,,0,,1161367,,,0
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,340139,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,43,Furskins and artificial fur; manufactures thereof,1,No Quantity,,,0,,0,,1452,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,1153092,,,0
