,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,17932,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,4043,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,349,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,223,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,329,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,1342,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,1500,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,33758,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1,No Quantity,,,0,,0,,265,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,5,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,96,Brunei Darussalam,BRN,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,392,,,0
