,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,859432,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4529987,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2890,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2028233,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,68171,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,931605,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,566106,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,499190,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2605475,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3249225,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,6051245,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,9422773,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,104363,,,0
