,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,792,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,581,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,6378,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,156,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,81,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,48,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,1499,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,31919,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,845,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,18279,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,4940,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,4994,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,3429,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,2336,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,20,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,35889,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,5815,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1,No Quantity,,,0,,0,,25745,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,207792,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,91,Clocks and watches and parts thereof,1,No Quantity,,,0,,0,,1325,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,108,Burundi,BDI,,,,,,,,96,Miscellaneous manufactured articles,1,No Quantity,,,0,,0,,1779,,,0
