,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,91514,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,11252,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,44441,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1121,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,No Quantity,,,0,,0,,7,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,950,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,4670,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,1812,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,51782,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,151,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,87,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,57,Carpets and other textile floor coverings,1,No Quantity,,,0,,0,,189,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,1742,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,1174,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,1101,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,384,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,2380,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,1995,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,132,Cabo Verde,CPV,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,762,,,0
