,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,58,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,1908,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,14604,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,89295,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,588837,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,14,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,10574,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,5965,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,78581,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,5773,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,776,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,1719,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,42250,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,116,Cambodia,KHM,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,24026,,,4
