,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,23812,,,4
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,268565,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,939428,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,30346,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,28754,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,106,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,7292,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1452,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,144988,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,368801,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,42,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,538627,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,1653888,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,299083,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,639279,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,979326,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,2148907,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1283699,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,14111667,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,1902764,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,228674,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,3689,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,52470,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,1439395,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,4456301,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,120123985,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,146582,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,3680905,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,2070618,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,1174654,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,247330,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,No Quantity,,,0,,0,,65227,,,0
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,201486,,,0
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,4071471,,,4
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,42724251,,,4
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,2609089,,,4
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,41,Raw hides and skins (other than furskins) and leather,1,No Quantity,,,0,,0,,38977,,,0
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,592716,,,0
38,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,43,Furskins and artificial fur; manufactures thereof,1,No Quantity,,,0,,0,,80338,,,0
39,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,37525151,,,0
40,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,45,Cork and articles of cork,1,No Quantity,,,0,,0,,83,,,4
41,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1,No Quantity,,,0,,0,,86,,,4
42,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,11552672,,,4
43,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,954487,,,4
44,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1,No Quantity,,,0,,0,,190101,,,0
45,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,59233,,,4
46,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1,No Quantity,,,0,,0,,14884,,,0
47,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,259002,,,4
48,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,55,Man-made staple fibres,1,No Quantity,,,0,,0,,2095178,,,4
49,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,656493,,,4
50,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,57,Carpets and other textile floor coverings,1,No Quantity,,,0,,0,,36116,,,0
51,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,79325,,,4
52,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,1473619,,,4
53,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,60,Fabrics; knitted or crocheted,1,No Quantity,,,0,,0,,89170,,,4
54,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,3439008,,,4
55,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,4594448,,,4
56,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,523231,,,4
57,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,9367980,,,4
58,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,597124,,,0
59,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,28894,,,0
60,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1,No Quantity,,,0,,0,,6061,,,4
61,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,3224977,,,4
62,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,16169049,,,4
63,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,5433073,,,4
64,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1,No Quantity,,,0,,0,,394705,,,4
65,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,72,Iron and steel,1,No Quantity,,,0,,0,,12659369,,,0
66,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,99364311,,,4
67,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,94864,,,4
68,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,75,Nickel and articles thereof,1,No Quantity,,,0,,0,,341980,,,4
69,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,8890703,,,4
70,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,78,Lead and articles thereof,1,No Quantity,,,0,,0,,1005,,,4
71,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,79,Zinc and articles thereof,1,No Quantity,,,0,,0,,12212,,,0
72,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,80,Tin; articles thereof,1,No Quantity,,,0,,0,,5187,,,0
