,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4776,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,61872,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,2,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,859,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,16,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,50,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,17640,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,1009,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,73639,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,313,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,641,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,13810,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,4249,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,1264,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,19083,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,18615,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,121534,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,43,Furskins and artificial fur; manufactures thereof,1,No Quantity,,,0,,0,,14124,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,1867,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,62493,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,1213,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,10,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,21,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,34,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,3546,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,730224,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,555282,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,178,,,4
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,64097,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,1612,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,77,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,31922,,,4
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,18304,,,0
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,888,,,0
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1,No Quantity,,,0,,0,,208,,,4
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,72,Iron and steel,1,No Quantity,,,0,,0,,6,,,4
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,52587,,,4
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,442,,,4
38,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,5675,,,0
39,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,78,Lead and articles thereof,1,No Quantity,,,0,,0,,6,,,4
40,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,81,"Metals; n.e.c., cermets and articles thereof",1,No Quantity,,,0,,0,,338,,,0
41,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,3702,,,4
42,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,83,Metal; miscellaneous products of base metal,1,No Quantity,,,0,,0,,19481,,,4
43,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,114733,,,4
44,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,446,"China, Macao SAR",MAC,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,170218,,,4
