,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,89420,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4018337,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,469545,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,493844,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,25702,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,36675,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,54393,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,169,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,406180,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,13082,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,30406,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,62112,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,20445,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,37018,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,3964243,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,1073369,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1338809,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,8035887,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,723920,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,22134,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,142487,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,789196,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,4347042,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,10573741,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,701631,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,14115060,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,541197,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,17396,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,No Quantity,,,0,,0,,41894,,,0
