,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1531,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,43813415,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,36447639,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,590410,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,10739,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,87002,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,160,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2007780,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,136,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,9090,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,187913,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,19805,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,5964,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1416550,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,6318,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,6657112,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1406877,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,7550339,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,4217650,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,6239820,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,9438198,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,1513526,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,258,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,3610839,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,5529,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,3678731,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,20019305,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,33882665,,,4
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,392716224,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,13175155,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,2446623,,,4
