,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,42764,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,75297,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,74140,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,87,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,208455,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,2,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,75040,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,7454,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,317584,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,2195525,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,969298,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,659,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,14428,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,966235,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,1256861,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,24688926,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,44,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,1500492,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,145834,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,158822,,,4
