,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,13270,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,130,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,31025,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,26970,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,17349,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,30216,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,121912,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,119394,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,236575,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,30399,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,2968,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,179305,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,48499,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,3361943,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,48289,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,63243,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,5553,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,687,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,171063,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,519613,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,53734,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,18387,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,696262,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,592585,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,256010,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,55,Man-made staple fibres,1,No Quantity,,,0,,0,,329951,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,6,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,57,Carpets and other textile floor coverings,1,No Quantity,,,0,,0,,827,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,29,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,998,,,0
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,60,Fabrics; knitted or crocheted,1,No Quantity,,,0,,0,,8778,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,25570,,,4
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,42074,,,4
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,2278,,,4
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,5635,,,4
