,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,8587,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,6,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,26721,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,394,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,554562,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,139421,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,1449,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,551,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,10984,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,29882,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,9105,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,542,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,727,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,5,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,7335,,,0
