,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1913,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,934,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,103545,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,9129,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,274157,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,12032,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,1,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,154530,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,696816,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,743967,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,36,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,1336,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,55980,,,0
