,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,125392,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,166721,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,69393,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,435,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,22562,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,108432,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1713016,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,254,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,348159,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,16889,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,71489,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,53037,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,375624,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,30121,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,1936,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,184409,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,278809,,,4
