,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,161474,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,419233,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1283,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,13623,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,38893,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,81615,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,162020,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,31529,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,21242,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,9581,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,12,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,466806,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,353017,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,45930,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,137745,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,1377627,,,0
