,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,96,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,186,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,7985,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,3269,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,348440,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,71,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,3166,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,13671,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,174970,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,4176,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,45,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,6298,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,6754,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,269297,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,107087,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,21634,,,4
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,356,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,2190468,,,0
