,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2383,,,4
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,99,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,558,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,265,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,73171,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,184,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,340,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,1710,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,48,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,275,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,11877,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,242,Fiji,FJI,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,42406,,,4
