,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4921,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,34586827,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,15509,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,9270643,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,301428,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,947388,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,5316246,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,5384431,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2488762,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,34773671,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,8064296,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,11779530,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,95818,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,169174,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,3013562,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,14420540,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,20135029,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,14424657,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,53927149,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,40198800,,,0
