,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,150159,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,20156,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,118160,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,34383,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,4584,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,91,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,120981,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,698,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,1669,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,325428,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,258,French Polynesia,PYF,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,7,,,4
