,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,18804,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,62568,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,1102,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,8989,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,156,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,1946,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,7440,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,273,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,5054,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,23382,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,83,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,1925,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,95307,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,89,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,613752,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1,No Quantity,,,0,,0,,14107,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,214,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,128,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,65400,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,15,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,223,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,836,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,38366,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,666,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,1162,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,83198,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,5682,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1,No Quantity,,,0,,0,,121120,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,11591,,,0
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,270,Gambia,GMB,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,,,0,,0,,111754,,,0
