,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,73444,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,192976,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,49452,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2239,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,2494,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,422968,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,437625,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,38006,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,4163,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,7445,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,4801,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,3047725,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,377271,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,55702,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,2931876,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,339866,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1916786,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,268,Georgia,GEO,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,3014554,,,0
