,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,16,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,34,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,3,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,4,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,15,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,22583,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,12382,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,1437110,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,70689,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,1870,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,26700,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,8505,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,14904,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,288,Ghana,GHA,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,87237,,,4
