,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,36658,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,164562,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,36746891,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,51228,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2135,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3426870,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,521241,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,674832,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1379801,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3248560,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,143008,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,22805,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,11,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1287316,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,3658628,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,300,Greece,GRC,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,4464026,,,0
