,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,20201,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,844,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,4541,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,269,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,86,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,44,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,34,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,2782,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,495,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,142,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,36237,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,11040,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,308,Grenada,GRD,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,3428,,,0
