,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,7,,,4
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1594,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,3597,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,1155,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,4052,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,668729,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,13111,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,175131,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,7922,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,328,Guyana,GUY,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,,,0,,0,,3495,,,0
