,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,9014,,,4
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,23625,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,126615,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,486963,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,2872324,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,3137,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,4234,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,12,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,42828,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,340,Honduras,HND,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,57546,,,4
