,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,14371267,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,93355149,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1685401,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,21810310,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,4270865,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5060952,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,22171161,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,20164379,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,11030164,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12653133,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,13585211,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,12414011,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,317526,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,5944,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,15111934,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,18222927,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,12845977,,,0
