,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2487,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,541,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,71727,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,30,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,12731,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,49324,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,7,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,8625,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,6259164,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,626,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,21883,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,60362,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,134047,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,32398027,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,3653941,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,285,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,296599,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,722,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,150764,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,4685266,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,20346204,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,32367215,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,12700,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,699,India,IND,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,2672323,,,4
