,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,19480,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,68476,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,670645,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2860,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,56950,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,71406,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,5666,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,29722,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,34505,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,460113,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,792,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,13867,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,1240720,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,326045,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,2870062,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,3551672,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,104,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,30510,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,16057,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,1265587,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,1813861,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,13924799,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,89615,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,386297,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,261088,,,4
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,665101,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,417254,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,7570,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,1300517,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,8543034,,,4
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,458053,,,4
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,41,Raw hides and skins (other than furskins) and leather,1,No Quantity,,,0,,0,,21308,,,0
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,8097,,,0
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,643713,,,0
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,1,No Quantity,,,0,,0,,2797547,,,0
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,21440496,,,4
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,399294,,,0
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,96385,,,0
