,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,305205,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,104176,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,979074,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,678356,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,323004,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,8961,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,3172,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,833848,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1179667,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,445175,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,500383,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,335358,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,9151755,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,376,Israel,ISR,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,2284226,,,0
