,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,37441674,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,195633321,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1883835,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,235292099,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3349056,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,4147326,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,11293052,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,22968927,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,8507496,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,196960667,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,39596680,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,19370939,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,907522,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,298522,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,26775157,,,4
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,33362592,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,25294006,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,18697259,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,182949852,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,82092409,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,52719358,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,84738417,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,78437028,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,48788570,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,3132515,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,155398690,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,119024729,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,124852561,,,4
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,481539028,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,381,Italy,ITA,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,37362918,,,0
