,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,4,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,401306,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,5,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,1562237,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,21,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,201,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,114,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,71,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,17761,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,388,Jamaica,JAM,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,2809,,,0
