,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8172,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,52158886,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,146380,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,122385,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,750,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,126500,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,206424,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6446,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,1398077,,,4
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,147616,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,6219,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,311085,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,1471265,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1096125,,,4
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,233530,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,364631,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,21524856,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1259248,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,13635670,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,7595266,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0,,1044,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,2956811,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,48858,,,0
