,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,10633,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,244383,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,136121,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,134324,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,25262,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,17099,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,1155,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,34165,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,127463,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,580637,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,2131,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,681469,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,362645,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,400,Jordan,JOR,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1189783,,,0
