,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5038,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,149406,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,17065,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,121782,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,882,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,35169,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,373,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,15613,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,146148,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,179797,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,2164574,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,325071,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,9993138,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,263732,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,21264,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,87710,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,104285,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,57206,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1523507,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,33164,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,372432,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,415834,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,1332,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,414452,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,1103403,,,4
