,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,352260,,,4
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1802,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,163375,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,453,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3746,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,44443,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,746184,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,92803,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,381455,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,10731,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,5006,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,73129,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,207668,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,110655,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,60689,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,738771,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,824838,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1193206,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,1697042,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,730059,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,445829,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,3043367,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,21433,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,428,Latvia,LVA,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,217807,,,4
