,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,86767,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2051,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1732188,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,4375,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,5583,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,11912,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,33720,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,18832,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,542164,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,366085,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,480378,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,5858942,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,166234,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,247,,,0
