,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,128,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,181,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,20,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,1792,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,658,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,28074,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,4008,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,545,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,12175,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1,No Quantity,,,0,,0,,37467,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,200,,,4
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,70,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,1208,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,171,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,2377,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,1334,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,4843,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,761,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,4767,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,32891,,,4
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,83,Metal; miscellaneous products of base metal,1,No Quantity,,,0,,0,,24,,,4
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,154022,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,5888,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1,No Quantity,,,0,,0,,65787,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,,,0,,0,,4118,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,426,Lesotho,LSO,,,,,,,,96,Miscellaneous manufactured articles,1,No Quantity,,,0,,0,,696,,,0
