,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,259305,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,4,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,63976,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,7400,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,93237,,,4
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,254467,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,300852,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1370560,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,721734,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,715805,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,6243,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1144180,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,1013372,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,49285,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,2492254,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,3234911,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,1400614,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,2270939,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,4532435,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,1761286,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,334315,,,0
