,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1005194,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,8861,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,64,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,27,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,10484,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,110960,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,86979,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,348553,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,16115,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,160201,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,222032,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,390,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,15862,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,331658,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,51361,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,97889,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,384795,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,721080,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,1361019,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,1630508,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,3675,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,19370,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,0,,0,,143433,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,50526,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,3195272,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,1328821,,,0
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,5313270,,,4
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,57240,,,0
