,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,106086,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,22,,,4
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,2,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,5,,,4
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0.0,,2147,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,0,,0.0,,29,,,4
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,,,3676,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0.0,,130,,,4
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0.0,,62,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0.0,,128,,,4
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0.0,,183,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0.0,,6,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0.0,,1632,,,0
