,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,87829,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,28013,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,124098,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,12378,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,882,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,853,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,2850,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,301974,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,6325,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,4527925,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,32603,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,91,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,25989,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,8776,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,85888,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,72088,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,143420,,,4
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,2729,,,4
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,557,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,3213728,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1,No Quantity,,,0,,0,,371,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,126987,,,4
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,1044,,,4
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,1072,,,4
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",1,No Quantity,,,0,,0,,562,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,1588,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,2639,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,32527,,,0
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,1531,,,0
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,65,Headgear and parts thereof,1,No Quantity,,,0,,0,,326,,,0
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1,No Quantity,,,0,,0,,471,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,No Quantity,,,0,,0,,1584,,,0
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,69,Ceramic products,1,No Quantity,,,0,,0,,1980,,,0
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,70,Glass and glassware,1,No Quantity,,,0,,0,,132926,,,0
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,72,Iron and steel,1,No Quantity,,,0,,0,,194,,,0
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,73,Iron or steel articles,1,No Quantity,,,0,,0,,287690,,,4
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,74,Copper and articles thereof,1,No Quantity,,,0,,0,,56242,,,0
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,,,0,,0,,226502,,,0
38,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,79,Zinc and articles thereof,1,No Quantity,,,0,,0,,266,,,0
39,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1,No Quantity,,,0,,0,,11271,,,4
40,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,83,Metal; miscellaneous products of base metal,1,No Quantity,,,0,,0,,259,,,4
41,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,462,Maldives,MDV,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1,No Quantity,,,0,,0,,814685,,,4
