,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,673,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,241,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,95,,,0
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2189,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,733,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,114,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,164,,,0
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,45075,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,128,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,711600,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,4931,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,14158,,,4
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1345,,,4
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,66,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,75166,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,12072,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,6528,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,130674,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,213719,,,4
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1,No Quantity,,,0,,0,,1341,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,52,Cotton,1,No Quantity,,,0,,0,,141867383,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,466,Mali,MLI,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1,No Quantity,,,0,,0,,1148,,,0
