,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,87580,,,0
1,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,573785,,,0
2,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,13113,,,4
3,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,233,,,0
4,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,614,,,0
5,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,279889,,,0
6,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,21139,,,4
7,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3165,,,0
8,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,6407,,,0
9,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,7102,,,0
10,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,6809,,,0
11,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,5,,,0
12,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,8362,,,0
13,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,104418,,,0
14,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,353654,,,0
15,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,88708,,,0
16,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,66878,,,0
17,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,785407,,,0
18,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,117580,,,0
19,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0,,4364684,,,0
20,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,,,0,,0,,119585,,,0
21,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,,,0,,0,,42361,,,0
22,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,0,,0,,3916131,,,0
23,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,No Quantity,,,0,,0,,57247,,,0
24,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,29,Organic chemicals,1,No Quantity,,,0,,0,,458437,,,0
25,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,0,,0,,1924399,,,4
26,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,31,Fertilizers,1,No Quantity,,,0,,0,,11735,,,0
27,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,No Quantity,,,0,,0,,96513,,,4
28,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,0,,0,,1752535,,,4
29,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,No Quantity,,,0,,0,,13082,,,0
30,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,0,,0,,4960,,,0
31,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,0,,0,,12546,,,0
32,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,38,Chemical products n.e.c.,1,No Quantity,,,0,,0,,1055776,,,0
33,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,0,,0,,1575659,,,0
34,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,189369,,,0
35,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,50158,,,4
36,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,0,,0,,4648889,,,0
37,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,45,Cork and articles of cork,1,No Quantity,,,0,,0,,87,,,0
38,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1,No Quantity,,,0,,0,,834,,,0
39,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1,No Quantity,,,0,,0,,1051652,,,0
40,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1,No Quantity,,,0,,0,,52976,,,0
41,H5,2019,2019,2019,2,0,2,Export,40,Austria,AUT,470,Malta,MLT,,,,,,,,54,Man-made filaments; strip and the like of man-made textile materials,1,No Quantity,,,0,,0,,10018,,,0
