,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,481738,,,4
1,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4009648,,,4
2,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3935362,,,4
3,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,27023128,,,0
4,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2364592,,,0
5,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,215362,,,0
6,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,528324160,,,0
7,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,8306333,,,0
8,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,40170347,,,0
9,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2001862,,,0
10,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,982344719,,,4
