,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,624893,,,4
1,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,63699,,,4
2,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3637083,,,4
3,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,14431,,,4
4,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,349142,,,4
5,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9107546,,,0
6,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4200452,,,0
7,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,144529591,,,0
8,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,59120647,,,4
9,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,9528590,,,0
10,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,185162676,,,4
11,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,920438,,,0
12,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3042206,,,4
13,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,579636,,,4
14,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1761136,,,4
15,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,142919,,,0
16,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,615204,,,4
17,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2722149,,,4
18,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2984038,,,4
19,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,16414319,,,4
20,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,111806,,,0
21,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,785,,,0
22,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,120565,,,4
23,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,5154,,,4
24,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,21616,,,4
25,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,531934,,,0
26,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,15288076,,,4
27,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,9138992,,,0
28,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1122994,,,0
29,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,318122050,,,0
30,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,926627,,,0
31,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,10797912,,,0
32,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,36334595,,,0
33,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,4489018,,,0
34,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,355627,,,0
35,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1018638,,,0
36,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,635703,,,0
37,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,382320,,,0
38,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,125113,,,0
39,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,1085635,,,4
40,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,984421,,,0
41,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,357472,,,0
42,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,299092,,,0
43,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,19811,,,0
44,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,516741,,,0
45,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,64037,,,0
46,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,1105263,,,0
47,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,17293,,,0
48,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,650510,,,0
49,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,279768471,,,4
50,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,174621123,,,4
51,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,94733829,,,4
52,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,1383835,,,0
53,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,3679437,,,4
54,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,1826004,,,0
55,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,261018,,,0
56,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,247797,,,0
57,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2765,,,0
58,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,14913,,,4
59,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,8177,,,0
60,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,822910,,,0
61,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,871476,,,0
62,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,21449412,,,0
63,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,8957349,,,0
64,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,1466420,,,4
65,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,853126,,,0
66,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,2386884,,,0
67,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,36157,,,0
68,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,699610,,,0
69,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,12935563,,,4
70,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,32899330,,,0
71,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,1595313,,,0
72,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,45954,,,0
73,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,694817,,,0
74,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,132242,,,0
75,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,839590,,,4
76,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,17083,,,0
77,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,2102858,,,0
78,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,2271017,,,0
79,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,1291446,,,0
80,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,2447,,,0
81,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,25283,,,0
82,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,4354259,,,0
83,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,9302270,,,0
84,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,961697,,,0
85,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,466475,,,0
86,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0.0,,2060057,,,0
87,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0.0,,4906243,,,0
88,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0.0,,3109845,,,0
89,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0.0,,13652901,,,0
90,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0.0,,1115047,,,0
91,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,0,,0.0,,1156410,,,4
